Sentence,Label
तनु को एक उम्म्म एक टेक्स्ट मैसेज भेजो।,1
यह जान को उउउ जॉन को भेज दो।,1
अनिल को करो एक अम्म्म ईमेल करो।,1
क्या राकेश को ई-मेल भेज सकते हो,1
रोहम अरे रोहन को ईमेल में इमेज अटैच्ड करो सेंड करो।,1
ईमेल पॉल और उम नमस्ते कहो,1
नैंसी को ऑडियो ऑडियो मैसेज भेजो और उसको बताओ फ्राइडे को उसका अपॉइंटमेंट है,1
व्हस्टअप करो रोहंकाओ सॉरी रोहन को।,1
स्नैपचैट के माध्यम से माध्यम से आगमन का अनुमानित समय भेजें,1
ईमेल हां ईमेल bob@gmail.com,1
"एक वीडियो भेजो, ओह सॉरी कमल को एक ऑडियो भेजो।",1
क्या आप यह एसएमएस भेजेंगे और स्क्रीन कैप्चर शामिल करेंगे?,1
क्या तुम इंडियन क्या तुम इंडियन नेशनल पार्क को ईमेल कर सकते हो?,1
क्या आप नेशनल पार्क को नेशनल पार्क को एक ईमेल संदेश कर सकते हैं?,1
क्या तुम अमेज़न को उम्म ईमेल कर सकते हो?,1
एक व्हाट्स व्हाट्सऐप मैसेज करो।,1
एलिसन को सीसी रखकर राय को ईमेल भेजो|,1
एक ऑडियो सन्देश भेजो रानी को भेज दो,1
क्या आप इस उम्म इस एसएमएस को भेजेंगे और उम्म स्क्रीन कैप्चर संलग्न करेंगे,1
बॉब को बॉब फ़िसर को एक ईमेल लिखो,1
इसे जॉन को भेजें।,1
कुत्ते के बारे मे स्स्सोहन सोहन को एक ईमेल भेजो।,1
ईमेल डॉ. जॉनसन और बीसीसी डेव।,1
राम ओह नहीं सीमा को एक ईमेल भेजो और मेरा ई टी ए अटैच कर दो और लिख देना जल्दी मिलेंगे,1
बॉब फिशर को एक ईमेल लिखें।,1
मेल भेज ईमेल भेज दो राहुल को।,1
क्या आप योसेमाइट नेशनल पार्क को ईमेल कर सकते हैं?,1
किम के उम्म हाँ मोबाइल पर मैसेज करें।,1
यह पाठ भेजें मेरा मतलब है कि इस पाठ को नोटपैड प्रारूप में भेजें।,1
लोकेशन अटैच करो और भेज दो|,1
ईमेल डॉ. जॉनसन उम्म हाँ बीसीसी डेव।,1
पापा को जल्दी से जल्दी से टेक्स्ट भेजो।,1
इंडियन एएए एयरलाइंस को मैसेज भेजो,1
555-555-555 पर एसएमएस यय्या आआ रुको व्हाट्सएप संदेश करें,1
"स्नैपचैट के द्वारा, उम्म, इ टी ए भेजें|",1
क्या तुम रचना को स्क्रीन कैप्चेर लगा कर एक एक मैसेज कर सकते हो।,1
बॉस के मोबाइल पर एक उम्म मैसेज करो।,1
एक व्हाट्सएप मेसेज़ भेजो भेजो,1
कृपया दीपक को ईमेल करें मुझे देर मुझे देर हो जाएगी,1
ईमेल डॉ गरिमा और देव हां बीसीसी देव,1
श्रुति को उसकी गिफ्ट सरप्राइज गिफ्ट के बारे में मैसेज भेजें,1
बाॅब@जीमेल.कॉम पर अमम ईमेल करो।,1
ऐनि को ऑडियो का इस्तेमाल करो इस्तेमाल करके मैसेज करो और कहो कि शुक्रवार दोपहर को अपॉइंटमेंट मिल सकता है।,1
लोकेशन अटैच करके उम् अटैच करके भेजना,1
"किम के मोबाइल पर एक, उम, संदेश भेजें।",1
निशांत क्रिएटिव को ईमेल यह ईमेल भेज दो और विवान को सीसी भेज दो,1
सारा को लोकेशन उम्म व्हाट्सएप करो ।,1
जल्दी जल्दी से कविता को ईमेल और स्क्रीनशॉट दोनों भेजो।,1
ईटीए भेजो स्नेप स्नैपचैट से,1
क्या तुम ईमेल क्या तुम ग्रीन पार्क को ईमेल कर सकते हो,1
राम ओह नहीं सीमा को एक वौइस् मैसेज भेजो,1
तरुण को उम्म इटीए व्हाट्स व्हाट्सऐप करो।,1
ऑडियो फॉर्मेट में मांगलिक हॉस्पिटल हॉस्पिटल को मैसेज भेजो पू पूछते हुए क्या कोई अप्वॉइंटमेंट खाली हैं,1
"व्हाट्सएप्प पर मैसेज, उह हां मैसेज भेजें|",1
डॉ जॉन को ईमेल करो और और बीसीसी देव को करो,1
आलिया को को ये फ़ोटो सेंड कर दो,1
उम हाँ डॉ प्रीति को एक ईमेल भेजें और पूछें कि सोमवार 3:00 बजे अप्वाइंटमेंट उपलब्ध हैं।,1
क्या तुम मेरे लिए विजय को मेल कर सकते हो,1
जीमेल अकाउंट पर राहुल को मेल भेजें,1
राम ओह नहीं सीमा को एक वीडियो मैसेज भेजो इंस्टाग्राम पर,1
"इसे अअअ इस स्क्रीन शॉट को राम को भेज दो, उम्म्म व्हाट्सएप पर।",1
पायल को ईमेल भेजो भेजो ईमेल ।,1
एक वो भेज दो व्हाट्सएप मैसेज भेज दो।,1
राम ओह नहीं सीमा को एक मैसेज भेजो और मेरा ई टी ए अटैच कर दो और लिख देना जल्दी मिलेंगे,1
क्रिस को कुत्ते के बारे में उम्म हाँ एक ईमेल भेजें।,1
उम्म शगुन को एक ईमेल भेजें।,1
144-4444 को यह संदेश यह ऑडियो संदेश भेज दो,1
क्या तुम इंडिगो एयरलाइन को मेल कर कर सकते हो?,1
बॉब फिशर को एक एक ईमेल लिखो।,1
क्या तुम ये एसएमएस उम्म्म एसएमएस भेज दोगे स्क्रीन कैप्चर के साथ।,1
बॉब फिशर को व्हाट्सएप नंबर 555-555-555 पर संदेश नहीं या फिर आआआ रुको एक ईमेल लिखें,1
"माँ को, माँ के मोबाइल पर संदेश भेजें।",1
फ्लिपकार्ट को ओह फ्लिपकार्ट के कस्टमर केयर को टेक्स्ट संदेश भेजना है,1
इसे जो जॉन को भेज दो।,1
मैसेज करो लोकेशन लोकेशन अटैच करके,1
एनी को ऑडियो मैसेज करके सूचित कीजिए करके सूचित कीजिए कि शुक्रवार दोपहर को अपॉइंटमेंट मिल सकता है।,1
बाॅब फिशर को एक ईमेल लललल लिखो।,1
क्या आप ईमेल कर सकते हैं अम टा टाटा स्काई को,1
कृपया इस संदेश को भेजें और और इस वीडियो को शामिल करें।,1
"भेजें, उम्म, क्रिस को कुत्ते के बारे में एक ईमेल भेजें।",1
छवि भेजें मेरा मतलब है कि छवि भेजें।,1
व्हाट्स ऐप्प्स उउउ व्हाट्सअप कर दो लोकेशन सृस्टि को।,1
स्नैप पर स्नैपचैट के द्वारा ईटीए भेज दो।,1
पॉल ओह नहीं नयपॉल को हेलो ईमेल कीजिए।,1
987 654 3210 पर एक अम्म्म एक टेक्स्ट मैसेज भेजो।,1
राहुल को लोकेशन मेरी लोकेशन संलग्न करके भेज दो,1
