disfluent,label,pred_label
"और उस चीज़ने इतना लाइट मेरेको रखा कि एसा कोइ नही था कि जो मुसे बोलता था घर में भी कि करना किया हे तुमको जीबन में
","और उससा उस चीज़ने इतना लाइट मेरेको रखा कि एसा कोइ नही था कि जो मुसे बोलता था घर में भी कि करना किया हे तुमको जीबन में
", and that thing kept me awake that I couldn't sleep at all
"मैं सोचा था कि मैं आपको सरप्राइज करुगां और अपनि कश्मीरी स्वैग करुगां
","मैं सोचा था कि मैं आपको सरप्राइज करुगां और अ अपनि कश्मीरी स्वैग करुगां
", I thought I would surprise you and sing my Kuchliya Swaag.
"मैं एक ट्रीक बताता हूँ
","मैं एक एक ट्रीक बताता हूँ
", I went to the market today.
"तो मध्यप्रदेश में आप बढ़े हुये हैं
","तो हम अ भा मध्यप्रदेश में आप बढ़े हुये हैं
", you are in the south of Spain
"लेकिन जंग कश्मीर का है
","लेकिन लेकिन जंग अ अ कश्मीर का है
", but the war in kashmir
"आपकि शहर की कहानी बता रहा हूँ और उसके बाद इये जो नन थी इये मुझसे बात कर रही थी और अचानक बोलि he comes to my window everyday
","आपकि शहर की कहानी बता रहा हूँ और अ उसके बाद इये जो नन थी इये मुझसे बात कर रही थी अ और अचानक बोलि he comes to my window everyday
", you are my best friend
"तो मैं नोटस ले रहा था I run and hide in the church
","तो मैं नोटस ले रहा था अ उमम I run and hide in the church
", I run and hide in the church
"यह शायद मेरे खयाल से मे एइटिज के एराउडं
","यह शायद मेरे खयाल से मे अ एइटिज के एराउडं
", this maybe my idea
"क्योंकि तब हम बारमुला में थें
","क्योंकि तब हम अ अ बारमुला में थें
", because then we were in the market
"इये मेरेको पता था कि खुदाबाग में जो सेंट जोसेप है वहाँ पे मैं पढ़ा हूँ
","इये हमको मेरेको पता था कि खुदाबाग में जो जो सेंट जोसेप है वहाँ पे मैं पढ़ा हूँ
", इये मेरेको पता था कि खुदाबाग में जो सेंट जोसेप है वहाँ पे मैं पढ़ा हूँ
"और तो वहाँ मैं कुछ २७ साल के बाद वापस गया था
","और तो वो वहाँ उसके मतलब मैं कुछ २७ साल के बाद वापस गया था
", and then there I went back to the market today
"मैं तो रोक नहीं पाया अपने आपको
","मेरा मतलब मैं तो रोक नहीं पाया अपने आपको
", I can't stop myself
"तो इसिलिये जब लोग मुझसे कश्मीर के बात करते हैं तो मैं बितक जाता हूँ
","अ म तो इसिलिये जब लोग मुझसे कश्मीर के बात करते हैं तो मैं मैं बितक जाता हूँ
", when people tell me about kashmir I get upset
"क्योंकि मेरेको लगता है कि किस जगह की बात कर रहे हैं
","क्योंकि मेरेको लगता है कि किस किस जगह की बात कर रहे हैं
", because my mom is a teacher
"मैं आप सोचिये २७ साल बाद कश्मीर गया
","मैं मतलब आप सोचिये २७ साल बाद कश्मीर गया
", I went to the market today.
"मैं और मेरे मां और मेरा भाई ८९ के पहले आ गये
","मतलब मैं और मेरे मां और मेरा भाई ८९ के पहले आ गये
", my mother and my brother and I went to 89th
"तो फिर यह सब एक अलग जीबन शुरु हो गया
","तो फिर यह सब एक एक अलग जीबन शुरु हो गया
", then this is a new life
