Sentence,Label
तनु ko एक उम्म्म one टेक्स्ट msg भेजो।,1
यह जान को उउउ john ko भेज दो।,1
anil ko karo एक अम्म्म ईमेल करो।,1
क्या राकेश ko ई-मेल भेज सकते हो,1
रोहम hey rohan को ईमेल in इमेज अटैच्ड करो सेंड करो।,1
emails paul and उम नमस्ते कहो,1
नैंसी को ऑडियो audio msg भेजो and उसको बताओ फ्राइडे ko her अपॉइंटमेंट है,1
व्हस्टअप करो रोहंकाओ सॉरी रोहन को।,1
स्नैपचैट of माध्यम से माध्यम from advent का अनुमानित time soften,1
emails हां ईमेल bob @ gmail.com,1
"एक वीडियो भेजो , ओह सॉरी कमल ko one audio भेजो।",1
what आप यह sms भेजेंगे और screen कैप्चर include will ?,1
क्या तुम इंडियन क्या you इंडियन national पार्क को emails taxes सकते हो ?,1
what आप national पार्क ko national parks को one emails संदेश कर सकते हैं ?,1
what you अमेज़न को उम्म ईमेल taxes सकते हो ?,1
one व्हाट्स व्हाट्सऐप मैसेज करो।,1
alison को सीसी placing roy को ईमेल भेजो|,1
एक audio सन्देश भेजो रानी को भेज two,1
क्या you इस ummm इस sms ko भेजेंगे और उम्म screen कैप्चर संलग्न will,1
bob ko bob फ़िसर को एक emails लिखो,1
it john को भेजें।,1
कुत्ते of बारे मे स्स्सोहन सोहन ko one emails भेजो।,1
emails डॉ . johnson और बीसीसी डेव।,1
राम oh no सीमा को एक emails भेजो and मेरा ई टी ए अटैच कर दो और लिख dena quickly मिलेंगे,1
bob फिशर को one ईमेल लिखें।,1
mail भेज ईमेल भेज दो राहुल को।,1
क्या you योसेमाइट national parks को ईमेल taxes सकते हैं ?,1
किम के उम्म yeah mobile at msg करें।,1
this पाठ soften mine मतलब है कि this recitation ko नोटपैड प्रारूप in भेजें।,1
location अटैच karo और भेज दो|,1
ईमेल डॉ . johnson उम्म yeah बीसीसी डेव।,1
papa को quickly से जल्दी से text भेजो।,1
इंडियन एएए एयरलाइंस को msg भेजो,1
