label,sentence,pred_label
positive,ఏ మతానికి చెందిన వారైనా కూడా ఆ మతానికి చెందిన వారుగా తెలిపే దుస్తులు వేసుకోరాదని చట్ట సవరణ చేసుకుని మరీ ఫ్రాన్స్ పాలకులు సర్వమత సమానత్వాన్ని పాటిస్తున్నారు., negative
positive,"పరీక్షాకేంద్రాలు, ప్రయోగశాలలు కొత్తవి ఏర్పాటవుతున్నాయి.", negative
neutral,"తేదీలు తేడా ఉండవచ్చును కానీ నవ్యాంధ్రలో కూడా రాష్ట్రానికీ, ప్రభుత్వానికీ కూడా రెండేళ్లు.", negative
positive,"అవి డిమాండ్ చేస్తున్నట్టు అఖిలపక్ష సమావేశాన్ని ఏర్పాటుచేసి, ఒక నిర్దిష్టమైన కార్యాచరణను సిద్ధం చేసుకోవడం, చర్చల ప్రక్రియను పునఃప్రారంభించడం వంటివి కేంద్ర, రాష్ట్ర ప్రభుత్వాల విశ్వసనీయతను పెంచడానికి ఉపకరిస్తాయి.", negative
neutral,వాటికి పునరంకితం కావడానికి జూన్ 2 ఒక వేదిక., negative
negative,మరోవైపు కేంద్రం నుంచి ఆశించిన చేయూత లభించడం లేదు కూడా!, negative
neutral,స్థానిక సంస్థల్లో మహిళల ప్రాతినిధ్యం 42 శాతానికి పెరిగినట్టుగా చట్టసభల్లోనూ రిజర్వేషనతో మాత్రమే వీరి సంఖ్య హెచ్చుతుందని రాష్ట్రపతి తేల్చిచెప్పారు., negative
neutral,"శివసేనవంటి పార్టీలు చోటుకాదు, మాటకూడా చెప్పనందుకు గుర్రుమంటున్నా ఈ విస్తరణ ప్రధానోద్దేశం మిత్రపక్షాలకు పదవులు పంచడంకంటే, వచ్చే ఏడాది మార్చి- ఏప్రిల్లో జరగబోయే ఉత్తరప్రదేశ్, మరో రెండు రాష్ట్రాల శాసనసభ ఎన్నికల్లో నెగ్గడం.", negative
neutral,గంగానదీ ప్రక్షాళనకు గత మూడు దశాబ్దాలలో వ్యయం చేసిన మొత్తానికి దాదాపు నాలుగు రెట్ల నిధులను వచ్చే ఐదేళ్లలో ఖర్చు చేయాలని మోడీ సర్కారు నిర్ణయించింది., negative
neutral,"అం తకుముందు ఆయన పోలీస్ స్టేషన్ పరిసరాలు, క్వార్ట ర్లు, స్టేషన్ను క్షుణ్నంగా పరిశీలించారు.", negative
neutral,ఆగ్నేయాసియా మొత్తం ప్రభావం చూపనున్న సంఘటన ఇది., negative
neutral,ఇరాక్ ప్రభుత్వం విజ్ఞప్తి మేరకే దాడులకు దిగానంటూ అమెరికా చెబుతోంది., negative
neutral,సామాజిక న్యాయశాఖను అథవాలే చేతుల్లోనే పెట్టడం దళితుల మనసు గెలుచుకొనే ప్రయత్నం., negative
positive,"ప్రజా సంక్షేమం కోసం ప్రభుత్వం పింఛన్ పెంచడం, కల్యాణ లక్ష్మి, షాదీమూబారక్, దళితులకు మూడెకరాల భూమి, ఉద్యోగులకు పీఆర్సీ, మిషన్ కాకతీయ ద్వారా చెరువుల పునరుద్ధరణ, వాటర్గ్రిడ్ పథకం, లాంటి అనేక సంక్షేమ పథకాలు ప్రవేశపెట్టి పేదల అభివృద్ధికి పాటుపడుతుందన్నారు.", positive
positive,మాడెగాం గ్రామం నుంచే జిల్లాలోని అన్ని గ్రామాలకు తాగునీరందిస్తామన్నారు., negative
neutral,విలువలు కోల్పోయినవారు సమాజంలో గౌరవాన్ని పొందలేని స్థితి ఉండాలి., negative
negative,"సైనిక,పౌర అణుకార్యక్రమాలను విభజించినపుడు, అంతర్జాతీయ అణుఇంధన సమాఖ్యకు తనిఖీలు చేసే అధికారం దఖలు పరిచినపుడు కూడా మన దేశంలోని అప్పటి ప్రతిపక్షాలు అధికార పక్షంపై తీవ్రమైన విమర్శలు గుప్పించాయి.", negative
neutral,నిజానికి ఇద్దరు ముఖ్యమంత్రులూ వారి సొంత డబ్బును ఉద్యోగులకు ఇవ్వడం లేదు., negative
neutral,ఇలాంటి కేసుల్లో శిక్షలు ఖరారైతే భవిష్యత్తులో మరే అధికారి కూడా తప్పు చేయడానికి సాహసం చేయడు., negative
neutral,ఏ చిన్నపాటి అంశం దొరికినా భారత ప్రభుత్వాన్ని ఇరకాటంలో పెట్టేందుకు వేర్పాటువాదులు ప్రయత్నిస్తూనే ఉంటారు., negative
positive,ఇక్కడనుంచి హైస్పీడ్ రైళ్లలో గంటన్నరలో పారిస్కు రెండుగంటల్లో లండన్కు చేరుకోవచ్చు., negative
neutral,ఇస్తాంబుల్ దాడి ప్రతిదేశమూ తమ విమానాశ్రయాల భద్రతా విధానాలను సమూలంగా మార్చుకోవాల్సిన అవసరాన్ని గుర్తుచేసింది., negative
neutral,ముఖ్యమంత్రి ఏమి ఆశిస్తున్నారో అధికారులకు తెలియడం లేదు., negative
